Title,Genre,Revenue (Millions),Rating
Pacific Rim,Action,101.79,7.0
"Crazy, Stupid, Love.",Comedy,84.24,7.4
Scott Pilgrim vs. the World,Action,31.49,7.5
Hot Fuzz,Action,23.62,7.9
Mine,Other,,6.0
Free Fire,Action,1.8,7.0
X-Men: Days of Future Past,Action,233.91,8.0
Jack Reacher: Never Go Back,Action,58.4,6.1
Casino Royale,Action,167.01,8.0
Twilight,Other,191.45,5.2
Now You See Me 2,Action,65.03,6.5
Woman in Gold,Other,33.31,7.3
13 Hours,Action,52.82,7.3
Spectre,Action,200.07,6.8
Nightcrawler,Crime,32.28,7.9
Kubo and the Two Strings,Animation,48.02,7.9
Beyond the Gates,Adventure,,5.2
Her,Other,25.56,8.0
Frozen,Animation,400.74,7.5
Tomorrowland,Action,93.42,6.5
Dawn of the Planet of the Apes,Action,208.54,7.6
Tropic Thunder,Action,110.42,7.0
The Conjuring 2,Horror,102.46,7.4
Ant-Man,Action,180.19,7.3
Bridget Jones's Baby,Comedy,24.09,6.7
The VVitch: A New-England Folktale,Horror,25.14,6.8
Cinderella,Other,201.15,7.0
Realive,Sci-Fi,,5.9
Forushande,Other,3.4,8.0
Love,Other,,6.0
Billy Lynn's Long Halftime Walk,Other,1.72,6.3
Crimson Peak,Other,31.06,6.6
Drive,Crime,35.05,7.8
Trainwreck,Comedy,110.01,6.3
The Light Between Oceans,Other,12.53,7.2
Below Her Mouth,Other,,5.6
Spotlight,Crime,44.99,8.1
Morgan,Horror,3.91,5.8
Warrior,Action,13.65,8.2
Captain America: The First Avenger,Action,176.64,6.9
Hacker,Crime,,6.3
Into the Wild,Adventure,18.35,8.1
The Imitation Game,Other,91.12,8.1
Central Intelligence,Action,127.38,6.3
Edge of Tomorrow,Action,100.19,7.9
A Cure for Wellness,Other,8.1,6.5
Snowden,Other,21.48,7.3
Iron Man,Action,318.3,7.9
Allegiant,Action,66.0,5.7
X: First Class,Action,146.41,7.8
Raw (II),Other,0.51,7.5
Paterson,Comedy,2.14,7.5
Bridesmaids,Comedy,169.08,6.8
The Girl with All the Gifts,Other,,6.7
San Andreas,Action,155.18,6.1
Spring Breakers,Other,14.12,5.3
Transformers,Action,318.76,7.1
Old Boy,Action,,5.8
Thor: The Dark World,Action,206.36,7.0
Gods of Egypt,Action,31.14,5.5
Captain America: The Winter Soldier,Action,259.75,7.8
Monster Trucks,Action,33.04,5.7
A Dark Song,Other,,6.1
Kick-Ass,Action,48.04,7.7
Hardcore Henry,Action,9.24,6.7
Cars,Animation,244.05,7.1
It Follows,Horror,14.67,6.9
The Girl with the Dragon Tattoo,Crime,102.52,7.8
We're the Millers,Comedy,150.37,7.0
American Honey,Other,0.66,7.0
The Lobster,Comedy,8.7,7.1
Predators,Action,52.0,6.4
Maleficent,Action,241.41,7.0
Rupture,Horror,,4.8
Pan's Labyrinth,Other,37.62,8.2
A Kind of Murder,Crime,0.0,5.2
Apocalypto,Action,50.86,7.8
Mission: Impossible - Rogue Nation,Action,195.0,7.4
The Huntsman: Winter's War,Action,47.95,6.1
The Perks of Being a Wallflower,Other,17.74,8.0
Jackie,Other,13.96,6.8
The Disappointments Room,Other,2.41,3.9
The Grand Budapest Hotel,Adventure,59.07,8.1
The Host,Action,26.62,5.9
Fury,Action,85.71,7.6
Inside Out,Animation,356.45,8.2
Rock Dog,Animation,9.4,5.8
Terminator Genisys,Action,89.73,6.5
Percy Jackson & the Olympians: The Lightning Thief,Adventure,88.76,5.9
Les Misérables,Other,148.78,7.6
Children of Men,Other,35.29,7.9
20th Century Women,Comedy,5.66,7.4
Spy,Action,110.82,7.1
The Intouchables,Other,13.18,8.6
Bonjour Anne,Comedy,0.32,4.9
Kynodontas,Other,0.11,7.3
Straight Outta Compton,Other,161.03,7.9
The Amazing Spider-Man 2,Action,202.85,6.7
The Conjuring,Horror,137.39,7.5
The Hangover,Comedy,277.31,7.8
Battleship,Action,65.17,5.8
Rise of the Planet of the Apes,Action,176.74,7.6
Lights Out,Horror,67.24,6.4
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Other,2.27,7.1
Birdman or (The Unexpected Virtue of Ignorance),Comedy,42.34,7.8
Black Swan,Other,106.95,8.0
Dear White People,Comedy,4.4,6.2
Nymphomaniac: Vol. I,Other,0.79,7.0
Teenage Mutant Ninja Turtles: Out of the Shadows,Action,0.54,6.0
Knock Knock,Other,0.03,4.9
Dirty Grandpa,Comedy,35.54,6.0
Cloud Atlas,Other,27.1,7.5
X-Men Origins: Wolverine,Action,179.88,6.7
Satanic,Horror,,3.7
Skyfall,Action,304.36,7.8
The Hobbit: An Unexpected Journey,Adventure,303.0,7.9
21 Jump Street,Action,138.45,7.2
Sing Street,Comedy,3.23,8.0
Ballerina,Animation,,6.8
Oblivion,Action,89.02,7.0
22 Jump Street,Action,191.62,7.1
Zodiac,Crime,33.05,7.7
Everybody Wants Some!!,Comedy,3.37,7.0
Iron Man Three,Action,408.99,7.2
Now You See Me,Crime,117.7,7.3
Sherlock Holmes,Action,209.02,7.6
Death Proof,Other,,7.1
The Danish Girl,Other,12.71,7.0
Hercules,Action,72.66,6.0
Sucker Punch,Action,36.38,6.1
Keeping Up with the Joneses,Action,14.9,5.8
Jupiter Ascending,Action,47.38,5.3
Masterminds,Action,17.36,5.8
Iris,Other,,6.1
Busanhaeng,Action,2.13,7.5
Pitch Perfect,Comedy,65.0,7.2
Neighbors 2: Sorority Rising,Comedy,55.29,5.7
The Exception,Other,,7.7
Man of Steel,Action,291.02,7.1
The Choice,Other,18.71,6.6
Ice Age: Collision Course,Animation,64.06,5.7
The Devil Wears Prada,Comedy,124.73,6.8
The Infiltrator,Other,15.43,7.1
There Will Be Blood,Other,40.22,8.1
The Equalizer,Action,101.53,7.2
Lone Survivor,Action,125.07,7.5
The Cabin in the Woods,Horror,42.04,7.0
The House Bunny,Comedy,48.24,5.5
She's Out of My League,Comedy,31.58,6.4
Inherent Vice,Comedy,8.09,6.7
Alice Through the Looking Glass,Adventure,77.04,6.2
Vincent N Roxxy,Crime,,5.5
The Fast and the Furious: Tokyo Drift,Action,62.49,6.0
How to Be Single,Comedy,46.81,6.1
The Blind Side,Other,255.95,7.7
La vie d'Adèle,Other,2.2,7.8
The Babadook,Other,0.92,6.8
The Hobbit: The Battle of the Five Armies,Adventure,255.11,7.4
Harry Potter and the Order of the Phoenix,Adventure,292.0,7.5
Snowpiercer,Action,4.5600000000000005,7.0
The 5th Wave,Action,34.91,5.2
The Stakelander,Action,,5.3
The Visit,Comedy,65.07,6.2
Fast Five,Action,209.81,7.3
Step Up,Crime,65.27,6.5
Lovesong,Other,0.01,6.4
RocknRolla,Action,5.69,7.3
In Time,Action,37.55,6.7
The Social Network,Other,96.92,7.7
The Last Witch Hunter,Action,27.36,6.0
Victor Frankenstein,Other,5.77,6.0
A Street Cat Named Bob,Other,0.04,7.4
Green Room,Crime,3.22,7.0
Blackhat,Crime,7.1,5.4
Storks,Animation,72.66,6.9
American Sniper,Action,350.12,7.3
Dallas Buyers Club,Other,27.3,8.0
Lincoln,Other,182.2,7.4
Rush,Action,26.9,8.1
Before I Wake,Other,,6.1
Silver Linings Playbook,Comedy,132.09,7.8
Tracktown,Other,,5.9
The Fault in Our Stars,Other,124.87,7.8
Blended,Comedy,46.28,6.5
Fast & Furious,Action,155.02,6.6
Looper,Action,66.47,7.4
White House Down,Action,73.1,6.4
Pete's Dragon,Adventure,76.2,6.8
Spider-Man 3,Action,336.53,6.2
The Three Musketeers,Action,20.32,5.8
Stardust,Adventure,38.35,7.7
American Hustle,Crime,150.12,7.3
Jennifer's Body,Comedy,16.2,5.1
Midnight in Paris,Comedy,56.82,7.7
Lady Macbeth,Other,,7.3
Joy,Other,56.44,6.6
The Dressmaker,Comedy,2.02,7.1
Café Society,Comedy,11.08,6.7
Insurgent,Adventure,130.0,6.3
Seventh Son,Action,17.18,5.5
Demain tout commence,Comedy,,7.4
The Theory of Everything,Other,35.89,7.7
This Is the End,Comedy,101.47,6.6
About Time,Comedy,15.29,7.8
Step Brothers,Comedy,100.47,6.9
Clown,Horror,0.05,5.7
Star Trek Into Darkness,Action,228.76,7.8
Zombieland,Adventure,75.59,7.7
"Hail, Caesar!",Comedy,30.0,6.3
Slumdog Millionaire,Other,141.32,8.0
The Twilight Saga: Breaking Dawn - Part 2,Adventure,292.3,5.5
American Wrestler: The Wizard,Other,,6.9
The Amazing Spider-Man,Action,262.03,7.0
Ben-Hur,Action,26.38,5.7
Sleight,Action,3.85,6.0
The Maze Runner,Action,102.41,6.8
Criminal,Action,14.27,6.3
Wanted,Action,134.57,6.7
Florence Foster Jenkins,Other,27.37,6.9
Collide,Action,2.2,5.7
Black Mass,Other,62.56,6.9
Creed,Other,109.71,7.6
Swiss Army Man,Adventure,4.21,7.1
The Expendables 3,Action,39.29,6.1
What We Do in the Shadows,Comedy,3.33,7.6
Southpaw,Other,52.42,7.4
Hush,Horror,,6.6
Bridge of Spies,Other,72.31,7.6
The Lego Movie,Animation,257.76,7.8
Everest,Action,43.25,7.1
Pixels,Action,78.75,5.6
Robin Hood,Action,105.22,6.7
The Wolverine,Action,132.55,6.7
John Carter,Action,73.06,6.6
Keanu,Action,20.57,6.3
The Gunman,Action,10.64,5.8
Steve Jobs,Other,17.75,7.2
Whisky Galore,Comedy,,5.0
Grown Ups 2,Comedy,133.67,5.4
The Age of Adaline,Other,42.48,7.2
The Incredible Hulk,Action,134.52,6.8
Couples Retreat,Comedy,109.18,5.5
Absolutely Anything,Comedy,,6.0
Magic Mike,Comedy,113.71,6.1
Minions,Animation,336.03,6.4
The Black Room,Horror,,3.9
Bronson,Action,0.1,7.1
Despicable Me,Animation,251.5,7.7
The Best of Me,Other,26.76,6.7
The Invitation,Other,0.23,6.7
Zero Dark Thirty,Other,95.72,7.4
Tangled,Animation,200.81,7.8
The Hunger Games: Mockingjay - Part 2,Action,281.67,6.6
Vacation,Adventure,58.88,6.1
Taken,Action,145.0,7.8
Pitch Perfect 2,Comedy,183.44,6.5
Monsters University,Animation,268.49,7.3
Elle,Crime,,7.2
Mechanic: Resurrection,Action,21.2,5.6
Tusk,Comedy,1.82,5.4
The Headhunter's Calling,Other,,6.9
Atonement,Other,50.92,7.8
Harry Potter and the Deathly Hallows: Part 1,Adventure,294.98,7.7
Shame,Other,4.0,7.2
Hanna,Action,40.25,6.8
The Babysitters,Other,0.04,5.7
Pride and Prejudice and Zombies,Action,10.91,5.8
300: Rise of an Empire,Action,106.37,6.2
London Has Fallen,Action,62.4,5.9
The Curious Case of Benjamin Button,Other,127.49,7.8
Sin City: A Dame to Kill For,Action,13.75,6.5
The Bourne Ultimatum,Action,227.14,8.1
Srpski film,Horror,,5.2
The Purge: Election Year,Action,79.0,6.0
3 Idiots,Comedy,6.52,8.4
Zoolander 2,Comedy,28.84,4.7
World War Z,Action,202.35,7.0
Mission: Impossible - Ghost Protocol,Action,209.36,7.4
Let Me Make You a Martyr,Action,,6.4
Filth,Comedy,0.03,7.1
The Longest Ride,Other,37.43,7.1
The imposible,Other,19.0,7.6
Kick-Ass 2,Action,28.75,6.6
Folk Hero & Funny Guy,Comedy,,5.6
Oz the Great and Powerful,Adventure,234.9,6.3
Brooklyn,Other,38.32,7.5
Coraline,Animation,75.28,7.7
Blue Valentine,Other,9.7,7.4
The Thinning,Other,,6.0
Silent Hill,Adventure,46.98,6.6
Dredd,Action,13.4,7.1
Hunt for the Wilderpeople,Adventure,5.2,7.9
Big Hero 6,Animation,222.49,7.8
Carrie,Other,35.27,5.9
Iron Man 2,Action,312.06,7.0
Demolition,Comedy,1.82,7.0
Pandorum,Action,10.33,6.8
Olympus Has Fallen,Action,98.9,6.5
I Am Number Four,Action,55.09,6.1
Jagten,Other,0.61,8.3
The Proposal,Comedy,163.95,6.7
Get Hard,Comedy,90.35,6.0
Just Go with It,Comedy,103.03,6.4
Revolutionary Road,Other,22.88,7.3
The Town,Crime,92.17,7.6
The Boy,Horror,35.79,6.0
Denial,Other,4.07,6.6
Predestination,Other,,7.5
Goosebumps,Adventure,80.02,6.3
Sherlock Holmes: A Game of Shadows,Action,186.83,7.5
Salt,Action,118.31,6.4
Enemy,Other,1.01,6.9
District 9,Action,115.65,8.0
The Other Guys,Action,119.22,6.7
American Gangster,Other,130.13,7.8
Marie Antoinette,Other,15.96,6.4
2012,Action,166.11,5.8
Harry Potter and the Half-Blood Prince,Adventure,301.96,7.5
Argo,Other,136.02,7.7
Eddie the Eagle,Other,15.79,7.4
The Lives of Others,Other,11.28,8.5
Pet,Horror,,5.7
Paint It Black,Other,,8.3
Macbeth,Other,,6.7
Forgetting Sarah Marshall,Comedy,62.88,7.2
The Giver,Other,45.09,6.5
Triple 9,Action,12.63,6.3
Perfetti sconosciuti,Comedy,,7.7
Angry Birds,Animation,107.51,6.3
Moonrise Kingdom,Adventure,45.51,7.8
Hairspray,Comedy,118.82,6.7
Safe Haven,Other,71.35,6.7
Focus,Comedy,53.85,6.6
Ratatouille,Animation,206.44,8.0
Stake Land,Other,0.02,6.5
The Book of Eli,Action,94.82,6.9
Cloverfield,Action,80.03,7.0
Point Break,Action,28.77,5.3
Under the Skin,Other,2.61,6.3
I Am Legend,Other,256.39,7.2
Men in Black 3,Action,179.02,6.8
Super 8,Other,126.98,7.1
Law Abiding Citizen,Crime,73.34,7.4
Up,Animation,292.98,8.3
Maze Runner: The Scorch Trials,Action,81.69,6.3
Carol,Other,0.25,7.2
Imperium,Crime,,6.5
Youth,Comedy,2.7,7.3
Mr. Nobody,Other,,7.9
City of Tiny Lights,Crime,,5.7
Savages,Crime,47.31,6.5
(500) Days of Summer,Comedy,32.39,7.7
Movie 43,Comedy,8.83,4.3
Gravity,Other,274.08,7.8
The Boy in the Striped Pyjamas,Other,9.03,7.8
Shooter,Action,46.98,7.2
The Happening,Sci-Fi,64.51,5.0
Bone Tomahawk,Adventure,66.01,7.1
Magic Mike XXL,Comedy,,5.7
Easy A,Comedy,58.4,7.1
Exodus: Gods and Kings,Action,65.01,6.0
Chappie,Action,31.57,6.9
The Hobbit: The Desolation of Smaug,Adventure,258.36,7.9
Half of a Yellow Sun,Other,0.05,6.2
Anthropoid,Other,2.96,7.2
The Counselor,Crime,16.97,5.3
Viking,Action,23.05,4.7
Whiskey Tango Foxtrot,Other,,6.6
Trust,Crime,0.06,7.0
Birth of the Dragon,Action,93.05,3.9
Elysium,Action,,6.6
The Green Inferno,Adventure,7.19,5.4
Godzilla,Action,200.66,6.4
The Bourne Legacy,Action,113.17,6.7
A Good Year,Comedy,7.46,6.9
Friend Request,Horror,64.03,5.4
Deja Vu,Action,,7.0
Lucy,Action,126.55,6.4
A Quiet Passion,Other,1.08,7.2
Need for Speed,Action,43.57,6.5
Jack Reacher,Action,58.68,7.0
The Do-Over,Action,0.54,5.7
True Crimes,Crime,,7.3
American Pastoral,Crime,,6.1
The Ghost Writer,Other,15.52,7.2
Limitless,Other,79.24,7.4
Spectral,Action,,6.3
P.S. I Love You,Other,53.68,7.1
Zipper,Other,,5.7
Midnight Special,Other,3.71,6.7
Don't Think Twice,Comedy,4.42,6.8
Alice in Wonderland,Adventure,334.19,6.5
Chuck,Other,0.11,6.8
"I, Daniel Blake",Other,,7.9
The Break-Up,Comedy,118.68,5.8
Loving,Other,7.7,7.1
Fantastic Four,Action,56.11,4.3
The Survivalist,Other,,6.3
Colonia,Other,,7.1
The Boy Next Door,Other,35.39,4.6
The Gift,Other,43.77,7.1
Dracula Untold,Action,55.94,6.3
In the Heart of the Sea,Action,24.99,6.9
Idiocracy,Adventure,0.44,6.6
The Expendables,Action,102.98,6.5
Evil Dead,Fantasy,54.24,6.5
Sinister,Horror,48.06,6.8
Wreck-It Ralph,Animation,189.41,7.8
Snow White and the Huntsman,Action,155.11,6.1
Pan,Adventure,34.96,5.8
Transformers: Dark of the Moon,Action,352.36,6.3
Juno,Comedy,143.49,7.5
A Hologram for the King,Comedy,4.2,6.1
Money Monster,Crime,41.01,6.5
The Other Woman,Comedy,83.91,6.0
Enchanted,Animation,127.71,7.1
The Intern,Comedy,75.27,7.1
Little Miss Sunshine,Comedy,59.89,7.8
Bleed for This,Other,4.85,6.8
Clash of the Titans,Action,163.19,5.8
The Finest Hours,Action,27.55,6.8
Tron,Action,172.05,6.8
The Hunger Games: Catching Fire,Action,424.65,7.6
All Good Things,Crime,0.58,6.3
Kickboxer: Vengeance,Action,131.56,4.9
The Last Airbender,Action,,4.2
Sex Tape,Comedy,38.54,5.1
What to Expect When You're Expecting,Comedy,41.1,5.7
Moneyball,Other,75.61,7.6
Ghost Rider,Action,115.8,5.2
Unbroken,Other,115.6,7.2
Immortals,Action,83.5,6.0
Sunshine,Adventure,3.68,7.3
Brave,Animation,237.28,7.2
Män som hatar kvinnor,Other,10.1,7.8
Adoration,Other,0.32,6.2
The Drop,Crime,10.72,7.1
She's the Man,Comedy,2.34,6.4
Daddy's Home,Comedy,150.32,6.1
Let Me In,Other,12.13,7.2
Never Back Down,Action,24.85,6.6
Grimsby,Action,6.86,6.2
Moon,Other,5.01,7.9
Megamind,Animation,148.34,7.3
Gangster Squad,Action,46.0,6.7
Blood Father,Action,93.95,6.4
He's Just Not That Into You,Comedy,,6.4
Kung Fu Panda 3,Animation,143.52,7.2
The Rise of the Krays,Crime,6.53,5.1
Handsome Devil,Other,,7.4
Winter's Bone,Other,,7.2
Horrible Bosses,Comedy,117.53,6.9
Mommy,Other,3.49,8.1
Hellboy II: The Golden Army,Action,75.75,7.0
Beautiful Creatures,Other,19.45,6.2
Toni Erdmann,Comedy,1.48,7.6
The Lovely Bones,Other,43.98,6.7
The Assassination of Jesse James by the Coward Robert Ford,Other,3.9,7.5
Don Jon,Comedy,24.48,6.6
Bastille Day,Action,0.04,6.3
2307: Winter's Dream,Sci-Fi,20.76,4.0
Free State of Jones,Action,,6.9
Mr. Right,Action,0.03,6.3
The Secret Life of Walter Mitty,Adventure,58.23,7.3
Dope,Comedy,17.47,7.3
Underworld Awakening,Action,62.32,6.4
Antichrist,Other,0.4,6.6
Friday the 13th,Horror,65.0,5.6
Taken 3,Action,89.25,6.0
Total Recall,Action,58.88,6.3
X-Men: The Last Stand,Action,234.36,6.7
The Escort,Comedy,,6.0
The Whole Truth,Crime,,6.1
Night at the Museum: Secret of the Tomb,Adventure,113.73,6.2
Love & Other Drugs,Comedy,32.36,6.7
The Interview,Comedy,6.11,6.6
The Host,Comedy,2.2,7.0
Megan Is Missing,Other,,4.9
WALL·E,Animation,223.81,8.4
Knocked Up,Comedy,148.73,7.0
Source Code,Other,54.7,7.5
Lawless,Crime,37.4,7.3
Unfriended,Other,31.54,5.6
American Reunion,Comedy,56.72,6.7
The Pursuit of Happyness,Other,162.59,8.0
Relatos salvajes,Comedy,3.08,8.1
The Ridiculous 6,Comedy,,4.8
Frantz,Other,0.86,7.5
Viral,Other,,5.5
Gran Torino,Other,148.09,8.2
Burnt,Comedy,13.65,6.6
Tall Men,Fantasy,,3.2
Sleeping Beauty,Other,0.03,5.3
Vampire Academy,Action,7.79,5.6
Sweeney Todd: The Demon Barber of Fleet Street,Other,52.88,7.4
Solace,Crime,,6.4
Insidious,Horror,53.99,6.8
Popstar: Never Stop Never Stopping,Comedy,9.39,6.7
The Levelling,Other,,6.4
Public Enemies,Other,97.03,7.0
Boyhood,Other,25.36,7.9
Teenage Mutant Ninja Turtles,Action,190.87,5.9
Eastern Promises,Crime,17.11,7.7
The Daughter,Other,0.03,6.7
Pineapple Express,Action,87.34,7.0
The First Time,Comedy,0.02,6.9
Gone Baby Gone,Crime,20.3,7.7
The Heat,Action,159.58,6.6
L'avenir,Other,0.28,7.1
Anna Karenina,Other,12.8,6.6
Regression,Crime,0.05,5.7
Ted 2,Adventure,81.26,6.3
Pain & Gain,Comedy,49.87,6.5
Blood Diamond,Adventure,57.37,8.0
Devil's Knot,Other,,6.1
Child 44,Crime,1.21,6.5
The Hurt Locker,Other,15.7,7.6
Green Lantern,Action,116.59,5.6
War on Everyone,Action,,5.9
The Mist,Horror,25.59,7.2
Escape Plan,Action,25.12,6.7
"Love, Rosie",Comedy,0.01,7.2
The DUFF,Comedy,34.02,6.5
The Age of Shadows,Action,0.54,7.2
The Hunger Games: Mockingjay - Part 1,Action,337.1,6.7
We Need to Talk About Kevin,Other,1.74,7.5
Love & Friendship,Comedy,14.01,6.5
The Mortal Instruments: City of Bones,Action,31.17,5.9
Seven Pounds,Other,69.95,7.7
The King's Speech,Other,138.8,8.0
Hunger,Other,0.15,7.6
Jumper,Action,80.17,6.1
Toy Story 3,Animation,414.98,8.3
Tinker Tailor Soldier Spy,Other,24.1,7.1
Resident Evil: Retribution,Action,42.35,5.4
Dear Zindagi,Other,1.4,7.8
Genius,Other,1.3599999999999999,6.5
Pompeii,Action,23.22,5.5
Life of Pi,Adventure,124.98,7.9
Hachi: A Dog's Tale,Other,,8.1
10 Years,Comedy,0.2,6.1
I Origins,Other,0.33,7.3
Live Free or Die Hard,Action,134.52,7.2
The Matchbreaker,Comedy,,5.5
Funny Games,Crime,1.29,6.5
Ted,Comedy,218.63,7.0
RED,Action,90.36,7.1
Australia,Adventure,49.55,6.6
Faster,Action,23.23,6.5
The Neighbor,Crime,,5.8
The Adjustment Bureau,Other,62.45,7.1
The Hollars,Comedy,1.02,6.5
The Judge,Crime,47.11,7.4
Closed Circuit,Crime,5.73,6.2
Transformers: Revenge of the Fallen,Action,402.08,6.0
La tortue rouge,Animation,0.92,7.6
The Book of Life,Animation,50.15,7.3
Incendies,Other,6.86,8.2
The Heartbreak Kid,Comedy,36.77,5.8
Happy Feet,Animation,197.99,6.5
Entourage,Comedy,32.36,6.6
The Strangers,Horror,52.53,6.2
Noah,Action,101.16,5.8
